2018-04-04 10:22:56,510 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'INSERT INTO "django_migrations" ("app", "name", "applied") VALUES (%s, %s, %s)' - PARAMS = (u'auth', u'0002_alter_permission_name_max_length', u'2018-04-04 02:22:56.510000'); args=['auth', u'0002_alter_permission_name_max_length', u'2018-04-04 02:22:56.510000']
2018-04-04 10:22:56,776 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:56,779 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'INSERT INTO "django_migrations" ("app", "name", "applied") VALUES (%s, %s, %s)' - PARAMS = (u'auth', u'0005_alter_user_last_login_null', u'2018-04-04 02:22:56.776000'); args=['auth', u'0005_alter_user_last_login_null', u'2018-04-04 02:22:56.776000']
2018-04-04 10:22:56,834 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:56,834 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = "\n            SELECT name, type FROM sqlite_master\n            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'\n            ORDER BY name" - PARAMS = (); args=None
2018-04-04 10:22:56,835 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:56,835 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'INSERT INTO "django_migrations" ("app", "name", "applied") VALUES (%s, %s, %s)' - PARAMS = (u'auth', u'0006_require_contenttypes_0002', u'2018-04-04 02:22:56.835000'); args=['auth', u'0006_require_contenttypes_0002', u'2018-04-04 02:22:56.835000']
2018-04-04 10:22:56,891 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:56,901 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_user" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "password" varchar(128) NOT NULL, "last_login" datetime NULL, "is_superuser" bool NOT NULL, "username" varchar(30) NOT NULL UNIQUE, "first_name" varchar(30) NOT NULL, "last_name" varchar(30) NOT NULL, "email" varchar(254) NOT NULL, "is_staff" bool NOT NULL, "is_active" bool NOT NULL, "date_joined" datetime NOT NULL, "avatar" varchar(200) NULL, "qq" varchar(20) NULL, "mobile" varchar(11) NULL UNIQUE); (params None)
2018-04-04 10:22:56,904 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'CREATE TABLE "blog_user" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "password" varchar(128) NOT NULL, "last_login" datetime NULL, "is_superuser" bool NOT NULL, "username" varchar(30) NOT NULL UNIQUE, "first_name" varchar(30) NOT NULL, "last_name" varchar(30) NOT NULL, "email" varchar(254) NOT NULL, "is_staff" bool NOT NULL, "is_active" bool NOT NULL, "date_joined" datetime NOT NULL, "avatar" varchar(200) NULL, "qq" varchar(20) NULL, "mobile" varchar(11) NULL UNIQUE)' - PARAMS = (); args=None
2018-04-04 10:22:56,904 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_user_groups" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "user_id" integer NOT NULL REFERENCES "blog_user" ("id"), "group_id" integer NOT NULL REFERENCES "auth_group" ("id"), UNIQUE ("user_id", "group_id")); (params None)
2018-04-04 10:22:56,905 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'CREATE TABLE "blog_user_groups" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "user_id" integer NOT NULL REFERENCES "blog_user" ("id"), "group_id" integer NOT NULL REFERENCES "auth_group" ("id"), UNIQUE ("user_id", "group_id"))' - PARAMS = (); args=None
2018-04-04 10:22:56,905 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_user_user_permissions" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "user_id" integer NOT NULL REFERENCES "blog_user" ("id"), "permission_id" integer NOT NULL REFERENCES "auth_permission" ("id"), UNIQUE ("user_id", "permission_id")); (params None)
2018-04-04 10:22:56,907 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE TABLE "blog_user_user_permissions" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "user_id" integer NOT NULL REFERENCES "blog_user" ("id"), "permission_id" integer NOT NULL REFERENCES "auth_permission" ("id"), UNIQUE ("user_id", "permission_id"))' - PARAMS = (); args=None
2018-04-04 10:22:56,911 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_ad" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "title" varchar(50) NOT NULL, "description" varchar(200) NOT NULL, "image_url" varchar(100) NOT NULL, "callback_url" varchar(200) NULL, "date_publish" datetime NOT NULL, "index" integer NOT NULL); (params None)
2018-04-04 10:22:56,911 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE TABLE "blog_ad" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "title" varchar(50) NOT NULL, "description" varchar(200) NOT NULL, "image_url" varchar(100) NOT NULL, "callback_url" varchar(200) NULL, "date_publish" datetime NOT NULL, "index" integer NOT NULL)' - PARAMS = (); args=None
2018-04-04 10:22:56,914 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_article" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "title" varchar(50) NOT NULL, "desc" varchar(50) NOT NULL, "content" text NOT NULL, "click_count" integer NOT NULL, "is_recommend" bool NOT NULL, "date_publish" datetime NOT NULL); (params None)
2018-04-04 10:22:56,920 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'CREATE TABLE "blog_article" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "title" varchar(50) NOT NULL, "desc" varchar(50) NOT NULL, "content" text NOT NULL, "click_count" integer NOT NULL, "is_recommend" bool NOT NULL, "date_publish" datetime NOT NULL)' - PARAMS = (); args=None
2018-04-04 10:22:56,924 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_category" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "name" varchar(30) NOT NULL, "index" integer NOT NULL); (params None)
2018-04-04 10:22:56,924 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE TABLE "blog_category" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "name" varchar(30) NOT NULL, "index" integer NOT NULL)' - PARAMS = (); args=None
2018-04-04 10:22:56,938 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_comment" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "content" text NOT NULL, "date_publish" datetime NOT NULL, "article_id" integer NULL REFERENCES "blog_article" ("id"), "pid_id" integer NULL REFERENCES "blog_comment" ("id"), "user_id" integer NULL REFERENCES "blog_user" ("id")); (params None)
2018-04-04 10:22:56,940 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE TABLE "blog_comment" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "content" text NOT NULL, "date_publish" datetime NOT NULL, "article_id" integer NULL REFERENCES "blog_article" ("id"), "pid_id" integer NULL REFERENCES "blog_comment" ("id"), "user_id" integer NULL REFERENCES "blog_user" ("id"))' - PARAMS = (); args=None
2018-04-04 10:22:56,944 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_links" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "title" varchar(50) NOT NULL, "description" varchar(200) NOT NULL, "callback_url" varchar(200) NOT NULL, "date_publish" datetime NOT NULL, "index" integer NOT NULL); (params None)
2018-04-04 10:22:56,944 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE TABLE "blog_links" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "title" varchar(50) NOT NULL, "description" varchar(200) NOT NULL, "callback_url" varchar(200) NOT NULL, "date_publish" datetime NOT NULL, "index" integer NOT NULL)' - PARAMS = (); args=None
2018-04-04 10:22:56,950 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_tag" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "name" varchar(30) NOT NULL); (params None)
2018-04-04 10:22:56,950 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE TABLE "blog_tag" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "name" varchar(30) NOT NULL)' - PARAMS = (); args=None
2018-04-04 10:22:56,969 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_article__new" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "title" varchar(50) NOT NULL, "desc" varchar(50) NOT NULL, "content" text NOT NULL, "click_count" integer NOT NULL, "is_recommend" bool NOT NULL, "date_publish" datetime NOT NULL, "category_id" integer NULL REFERENCES "blog_category" ("id")); (params None)
2018-04-04 10:22:56,970 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'CREATE TABLE "blog_article__new" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "title" varchar(50) NOT NULL, "desc" varchar(50) NOT NULL, "content" text NOT NULL, "click_count" integer NOT NULL, "is_recommend" bool NOT NULL, "date_publish" datetime NOT NULL, "category_id" integer NULL REFERENCES "blog_category" ("id"))' - PARAMS = (); args=None
2018-04-04 10:22:56,970 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- INSERT INTO "blog_article__new" ("click_count", "date_publish", "is_recommend", "content", "title", "category_id", "id", "desc") SELECT "click_count", "date_publish", "is_recommend", "content", "title", NULL, "id", "desc" FROM "blog_article"; (params [])
2018-04-04 10:22:56,970 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'INSERT INTO "blog_article__new" ("click_count", "date_publish", "is_recommend", "content", "title", "category_id", "id", "desc") SELECT "click_count", "date_publish", "is_recommend", "content", "title", NULL, "id", "desc" FROM "blog_article"' - PARAMS = (); args=[]
2018-04-04 10:22:56,970 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- DROP TABLE "blog_article"; (params [])
2018-04-04 10:22:56,971 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'DROP TABLE "blog_article"' - PARAMS = (); args=[]
2018-04-04 10:22:56,973 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE "blog_article__new" RENAME TO "blog_article"; (params [])
2018-04-04 10:22:56,973 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'ALTER TABLE "blog_article__new" RENAME TO "blog_article"' - PARAMS = (); args=[]
2018-04-04 10:22:56,973 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX "blog_user_groups_e8701ad4" ON "blog_user_groups" ("user_id"); (params [])
2018-04-04 10:22:56,973 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE INDEX "blog_user_groups_e8701ad4" ON "blog_user_groups" ("user_id")' - PARAMS = (); args=[]
2018-04-04 10:22:56,973 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX "blog_user_groups_0e939a4f" ON "blog_user_groups" ("group_id"); (params [])
2018-04-04 10:22:56,974 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'CREATE INDEX "blog_user_groups_0e939a4f" ON "blog_user_groups" ("group_id")' - PARAMS = (); args=[]
2018-04-04 10:22:56,974 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX "blog_user_user_permissions_e8701ad4" ON "blog_user_user_permissions" ("user_id"); (params [])
2018-04-04 10:22:56,974 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE INDEX "blog_user_user_permissions_e8701ad4" ON "blog_user_user_permissions" ("user_id")' - PARAMS = (); args=[]
2018-04-04 10:22:56,974 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX "blog_user_user_permissions_8373b171" ON "blog_user_user_permissions" ("permission_id"); (params [])
2018-04-04 10:22:56,976 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE INDEX "blog_user_user_permissions_8373b171" ON "blog_user_user_permissions" ("permission_id")' - PARAMS = (); args=[]
2018-04-04 10:22:56,976 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX "blog_comment_a00c1b00" ON "blog_comment" ("article_id"); (params [])
2018-04-04 10:22:56,976 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE INDEX "blog_comment_a00c1b00" ON "blog_comment" ("article_id")' - PARAMS = (); args=[]
2018-04-04 10:22:56,976 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX "blog_comment_252a6649" ON "blog_comment" ("pid_id"); (params [])
2018-04-04 10:22:56,976 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE INDEX "blog_comment_252a6649" ON "blog_comment" ("pid_id")' - PARAMS = (); args=[]
2018-04-04 10:22:56,976 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX "blog_comment_e8701ad4" ON "blog_comment" ("user_id"); (params [])
2018-04-04 10:22:56,976 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE INDEX "blog_comment_e8701ad4" ON "blog_comment" ("user_id")' - PARAMS = (); args=[]
2018-04-04 10:22:56,976 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX "blog_article_b583a629" ON "blog_article" ("category_id"); (params [])
2018-04-04 10:22:56,982 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE INDEX "blog_article_b583a629" ON "blog_article" ("category_id")' - PARAMS = (); args=[]
2018-04-04 10:22:57,000 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_article_tag" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "article_id" integer NOT NULL REFERENCES "blog_article" ("id"), "tag_id" integer NOT NULL REFERENCES "blog_tag" ("id"), UNIQUE ("article_id", "tag_id")); (params None)
2018-04-04 10:22:57,000 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'CREATE TABLE "blog_article_tag" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "article_id" integer NOT NULL REFERENCES "blog_article" ("id"), "tag_id" integer NOT NULL REFERENCES "blog_tag" ("id"), UNIQUE ("article_id", "tag_id"))' - PARAMS = (); args=None
2018-04-04 10:22:57,019 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_article__new" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "title" varchar(50) NOT NULL, "desc" varchar(50) NOT NULL, "content" text NOT NULL, "click_count" integer NOT NULL, "is_recommend" bool NOT NULL, "date_publish" datetime NOT NULL, "category_id" integer NULL REFERENCES "blog_category" ("id"), "user_id" integer NOT NULL REFERENCES "blog_user" ("id")); (params None)
2018-04-04 10:22:57,020 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE TABLE "blog_article__new" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "title" varchar(50) NOT NULL, "desc" varchar(50) NOT NULL, "content" text NOT NULL, "click_count" integer NOT NULL, "is_recommend" bool NOT NULL, "date_publish" datetime NOT NULL, "category_id" integer NULL REFERENCES "blog_category" ("id"), "user_id" integer NOT NULL REFERENCES "blog_user" ("id"))' - PARAMS = (); args=None
2018-04-04 10:22:57,022 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- INSERT INTO "blog_article__new" ("user_id", "click_count", "date_publish", "is_recommend", "content", "title", "category_id", "id", "desc") SELECT NULL, "click_count", "date_publish", "is_recommend", "content", "title", "category_id", "id", "desc" FROM "blog_article"; (params [])
2018-04-04 10:22:57,023 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'INSERT INTO "blog_article__new" ("user_id", "click_count", "date_publish", "is_recommend", "content", "title", "category_id", "id", "desc") SELECT NULL, "click_count", "date_publish", "is_recommend", "content", "title", "category_id", "id", "desc" FROM "blog_article"' - PARAMS = (); args=[]
2018-04-04 10:22:57,023 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- DROP TABLE "blog_article"; (params [])
2018-04-04 10:22:57,023 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'DROP TABLE "blog_article"' - PARAMS = (); args=[]
2018-04-04 10:22:57,023 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE "blog_article__new" RENAME TO "blog_article"; (params [])
2018-04-04 10:22:57,026 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'ALTER TABLE "blog_article__new" RENAME TO "blog_article"' - PARAMS = (); args=[]
2018-04-04 10:22:57,026 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX "blog_article_b583a629" ON "blog_article" ("category_id"); (params [])
2018-04-04 10:22:57,028 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'CREATE INDEX "blog_article_b583a629" ON "blog_article" ("category_id")' - PARAMS = (); args=[]
2018-04-04 10:22:57,028 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX "blog_article_e8701ad4" ON "blog_article" ("user_id"); (params [])
2018-04-04 10:22:57,028 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE INDEX "blog_article_e8701ad4" ON "blog_article" ("user_id")' - PARAMS = (); args=[]
2018-04-04 10:22:57,117 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = "\n            SELECT name, type FROM sqlite_master\n            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'\n            ORDER BY name" - PARAMS = (); args=None
2018-04-04 10:22:57,118 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:57,118 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'INSERT INTO "django_migrations" ("app", "name", "applied") VALUES (%s, %s, %s)' - PARAMS = (u'blog', u'0001_initial', u'2018-04-04 02:22:57.117000'); args=['blog', u'0001_initial', u'2018-04-04 02:22:57.117000']
2018-04-04 10:22:57,180 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:57,200 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "django_admin_log" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "action_time" datetime NOT NULL, "object_id" text NULL, "object_repr" varchar(200) NOT NULL, "action_flag" smallint unsigned NOT NULL, "change_message" text NOT NULL, "content_type_id" integer NULL REFERENCES "django_content_type" ("id"), "user_id" integer NOT NULL REFERENCES "blog_user" ("id")); (params None)
2018-04-04 10:22:57,201 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'CREATE TABLE "django_admin_log" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "action_time" datetime NOT NULL, "object_id" text NULL, "object_repr" varchar(200) NOT NULL, "action_flag" smallint unsigned NOT NULL, "change_message" text NOT NULL, "content_type_id" integer NULL REFERENCES "django_content_type" ("id"), "user_id" integer NOT NULL REFERENCES "blog_user" ("id"))' - PARAMS = (); args=None
2018-04-04 10:22:57,203 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX "django_admin_log_417f1b1c" ON "django_admin_log" ("content_type_id"); (params [])
2018-04-04 10:22:57,203 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE INDEX "django_admin_log_417f1b1c" ON "django_admin_log" ("content_type_id")' - PARAMS = (); args=[]
2018-04-04 10:22:57,203 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE INDEX "django_admin_log_e8701ad4" ON "django_admin_log" ("user_id"); (params [])
2018-04-04 10:22:57,203 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'CREATE INDEX "django_admin_log_e8701ad4" ON "django_admin_log" ("user_id")' - PARAMS = (); args=[]
2018-04-04 10:22:57,266 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = "\n            SELECT name, type FROM sqlite_master\n            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'\n            ORDER BY name" - PARAMS = (); args=None
2018-04-04 10:22:57,267 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:57,269 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'INSERT INTO "django_migrations" ("app", "name", "applied") VALUES (%s, %s, %s)' - PARAMS = (u'admin', u'0001_initial', u'2018-04-04 02:22:57.268000'); args=['admin', u'0001_initial', u'2018-04-04 02:22:57.268000']
2018-04-04 10:22:57,334 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:57,354 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE "blog_category__new" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "name" varchar(30) NOT NULL, "index" integer NOT NULL, "index2" integer NOT NULL); (params None)
2018-04-04 10:22:57,355 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) QUERY = u'CREATE TABLE "blog_category__new" ("id" integer NOT NULL PRIMARY KEY AUTOINCREMENT, "name" varchar(30) NOT NULL, "index" integer NOT NULL, "index2" integer NOT NULL)' - PARAMS = (); args=None
2018-04-04 10:22:57,357 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- INSERT INTO "blog_category__new" ("index2", "index", "id", "name") SELECT 999, "index", "id", "name" FROM "blog_category"; (params [])
2018-04-04 10:22:57,358 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'INSERT INTO "blog_category__new" ("index2", "index", "id", "name") SELECT 999, "index", "id", "name" FROM "blog_category"' - PARAMS = (); args=[]
2018-04-04 10:22:57,358 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- DROP TABLE "blog_category"; (params [])
2018-04-04 10:22:57,358 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'DROP TABLE "blog_category"' - PARAMS = (); args=[]
2018-04-04 10:22:57,358 [MainThread:11264] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE "blog_category__new" RENAME TO "blog_category"; (params [])
2018-04-04 10:22:57,359 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'ALTER TABLE "blog_category__new" RENAME TO "blog_category"' - PARAMS = (); args=[]
2018-04-04 10:22:57,467 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = "\n            SELECT name, type FROM sqlite_master\n            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'\n            ORDER BY name" - PARAMS = (); args=None
2018-04-04 10:22:57,467 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
